app_id,number_of_downloads,standard,standard_reason
86,1M+,Bad Standard,"The policy lacks key elements of a Good Standard. Data Minimization is unclear, as the policy does not specify if it collects only necessary data and does not limit data collection to essential needs. The policy lacks Accuracy as there are no mechanisms mentioned for users to correct their data. Storage Limitation is not outlined, there isn't any clear retention period nor criteria for determining these periods. The integrity and confidentiality part is kind of vague without specifying practices such as encryption or regular security assessments. Furthermore, while it is mentioned that they collect name and email address, the legal basis for this data processing isn't clearly stated which affects Lawfulness, Fairness, and Transparency."
87,1M+,Good Standard,"The privacy policy of EVOLLY.APP complies with GDPR Article 5 standards in the following ways:
1. Lawfulness, Fairness, and Transparency: The policy explains precisely what data is collected, where it's used, and how it's used in a very clear and understandable language.
2. Purpose Limitation: The purposes for data collection are clearly defined and limited as mentioned in the 'PURPOSES OF PROCESSING YOUR PERSONAL DATA' section.
3. Data Minimization: The policy states that only data necessary for the performance of the app is collected.
4. Accuracy: From the 'EXERCISING YOUR RIGHTS' section, it can be inferred that they have mechanisms in place to correct and update data.
5. Storage Limitation: The policy defines clear retention periods in the 'HOW LONG WE USE YOUR PERSONAL DATA' section. They also mention the deletion of data after the purpose is fulfilled under 'EXERCISING YOUR RIGHTS'.
6. Integrity and Confidentiality: Their 'SECURITY' section outlines the measures that are in place to protect user data. These include encryption practices and systems to safeguard against unauthorized access and misuse."
88,1M+,Bad Standard,"There are several elements missing in this privacy policy that make it fall short of a Good Standard.  Firstly, there is no mention of the retention period for the data collected - that is, it doesn't address Storage Limitation. Secondly, practices or mechanisms that ensure data accuracy, for users to update or correct their data, are not articulated. Lastly, there is no specific mention of any measures taken to secure the data, thus lacking in the aspect of data Integrity and Confidentiality."
89,1M+,Good Standard,"The privacy policy document is detailed and transparent about the data collection, usage, and sharing practices, aiming to align with good standard GDPR requirements.
In terms of Lawfulness, Fairness, and Transparency, the document clearly describes the kind of data they collect, and how they use this data (Section III), under what considerations data can be shared (Section V), and how the data is stored and for how long (Section IV). The language is understandable and transparent.
For Purpose Limitation, the policy clarifies specific purposes of data processing (Section III).
The Data Minimization principle seems to be respected because the document states that only necessary information is collected to ensure the provision of their services, such as functional data, contact, and payment information (Section III).
In the Accuracy regard, users are provided with measures to correct and update their data (Section VII).
Regarding Storage Limitation, the policy outlines a clear storage and data retention period related to the functionality of the app and legal obligations (Section IV).
Regarding Integrity and Confidentiality, the policy mentions the use of encryption for data safeguarding (Section IX)."
90,1M+,Good Standard,"The privacy policy is of good standard as it adheres to the GDPR Article 5 definitions in the following ways:
- Lawfulness, Fairness, and Transparency: The privacy policy states its lawful basis for data processing clearly. It also uses simple language making it simple for users to understand how their data is used.
- Purpose Limitation: Specific purposes for data collection are defined such as improving services, monitoring metrics, resolving errors, and meeting legal requirements. They also ensure data is not used for incompatible purposes without consent, such as not collecting sensitive personal information unless required by law.
- Data Minimization: The policy shows an emphasis on collecting only necessary personal data like email addresses, device details, and usage details. This data is necessary for providing the application's services.
- Accuracy: The policy has a mechanism for users to update or correct their data by reaching out to their support.
- Storage Limitation: The policy defines a clear retention period for the data and states data will be held as long as necessary to provide services and as per data retention policies.
- Integrity and Confidentiality: The policy mentions the use of adequate security measures like commercial means of data protection and regular assessments of vulnerabilities and attacks for the protection of user data. Even if 100% security cannot be guaranteed, the measures put in place do fit the description of good standard in this regard."
91,1M+,Good Standard,"The policy greatly clarifies the users' rights to data protection, ensuring lawfulness, fairness, and transparency. It clearly articulates how users' personal data is handled with specific rights like right to be informed, access, rectification, restriction of processing, object, data portability, and erasure. It also mentions appropriate ways of exercising these rights and the timeline for addressing those requests. The policy has explained purpose limitation in terms of data processing for the stated reasons. Data minimization is somewhat ensured as the policy gives the user the control over correcting or deleting their data. Storage limitation is also covered with the feature of resetting data, anonymizing user's past data. Furthermore, users have the right to object to the automated decision-making and profiling, which adds to the aspect of integrity and confidentiality."
92,1M+,Good Standard,"The privacy policy document provided by Octopus Interactive Technology Limited for their application ""ChatMind"" meets a good standard based on the following specifics:
1. Lawfulness, Fairness, and Transparency: The policy clearly states its legal basis for data processing as compliant with the Personal Data Protection Law No. 6698 and other applicable laws (Section 1).
2. Purpose Limitation: The policy defines the purposes for which data is collected, processed, and transferred, for instance, to comply with legal obligations, improve services, administer user experience, etc (Section 2 & 3).
3. Data Minimization: The policy focuses on collecting only necessary user data and states that it will be done ""in a limited and measured manner"", ensuring the accuracy and up-to-date status of the information (Section 1).
4. Accuracy: The policy allows users to revise inaccuracies (Section 1) and ensures data accuracy and regular updates (Section 2).
5. Storage Limitation: It states that data will be stored only for the period stipulated by relevant legislation or until the purpose of processing no longer exists (Section 3). It also includes a process for data deletion, destruction, or anonymization (Section 3).
6. Integrity and Confidentiality: The policy outlines various technical and administrative measures taken to protect user data, including encryption, firewall protection, two-factor authentication, system penetration tests, etc (Technical and Administrative Measures Section). It even has measures to inform users in case of a data breach.
7. Explicit Consent: The policy mentions obtaining user's consent before data processing (Section 2) and sharing data with third parties (Section 4). It also explains users' rights regarding their data, such as correcting, deleting, restricting processing, etc (Section 5). Therefore, upholding the key principles of GDPR Article 5."
93,1M+,Good Standard,"The policy clearly states its rules about data collection, information processing, personal information usage, and personal data disclosure to third parties. Data minimization is emphasized, only essential data is collected and used. It also provides an understanding of security measures applied to protect user data, even though it acknowledges that no method is 100% secure. Moreover, the policy presents the clear conditions about data accessing of children under 13 and practices on these scenarios. However, the policy could improve on the aspect of Accuracy, it does not mention any mechanism for users to correct their inaccurate data."
94,1M+,Good Standard,"The privacy policy of GPT Notes is considered a good standard based on the following sections:
- Lawfulness, Fairness, and Transparency: The policy states its legal basis, mentions its data controller and clearly outlines its data collection and processing practices.
- Purpose Limitation: The purposes of data collection are clearly defined and limited as identified in Section 3 of the policy.
- Data Minimization: The policy clearly states that GPT Notes collects only necessary data required for its operation.
- Accuracy: The policy outlines measures for data accuracy and correction through user rights in Section 8, particularly the right to rectification.
- Storage Limitation: The policy outlines its data retention practices in Section 7, providing a clear retention period and criteria for data storage.
- Integrity and Confidentiality: The company uses commercially reasonable and industry standard security technologies and safeguards to protect users' personal data as mentioned in Section 6."
95,1K+,Good Standard,"Although the application clearly does not collect personal information, it is considered to meet the standard due to several reasons:
- Lawfulness, Fairness, and Transparency: The policy states the legal basis for its data processing by explicitly requiring user consent for the processing of non-personal data.
- Purpose Limitation: The policy specifies that the non-personal data collection is intended for improving the application’s functionality and performance.
- Data Minimization: The policy ensures this by stating that it does not collect any personal data.
- Disclosure of Information: It is stated that no personal information is disclosed as none is collected, non-personal information disclosed is limited to third-party service providers for improvement.
- Contact Us: They provide an email address and commit to clear and timely responses regarding any questions about their privacy policy.
However, it lacks specific details on areas of 'Accuracy', 'Storage Limitation', and 'Integrity and Confidentiality' as per GDPR guidelines. The policy does not mention how it ensures the non-personal data gathered is accurate, there is also no mention of the duration of data storage, or the specific security measures taken to protect this data. This must be improved."
96,1K+,Good Standard,"The privacy policy by AiChat sufficiently covers the essential GDPR assessment criteria.
1. Lawfulness, Fairness, and Transparency: The policy is transparent about its collection and use of data, underlined by the phrase, ""The Personal Information that we collect is used for providing and improving the Service.""
2. Purpose Limitation: The policy clearly states the purpose for data collection is to improve the service.
3. Data Minimization: It specifies the personal data to be collected as necessary for the services.
4. Accuracy: The policy allows users to delete their data, implying that users have control over their information.
5. Storage Limitation: The Data Deletion Policy mentions a process to delete personal data on request within 72 hours. However, the policy could be more explicit on data retention period.
6. Integrity and Confidentiality: The policy mentions the use of ""commercially acceptable means"" for data protection. Although it doesn't mention encryption specifically, it emphasizes a commitment to data security."
97,1K+,Good Standard,"The privacy policy meets most of the Good Standard Assessment criteria. It clearly defines the purposes for data collection (Processing transactions, sending promotional and marketing materials, complying with legal obligations, etc.), states the data they collect and how it will be used. It explicitly mentions that they do not sell or trade user's personal information and use security measures to protect the data. Moreover, they provide a way for users to update, review, or delete their personal information. However, it should mention clearly their data retention period to comply fully with the Storage Limitation requirement."
98,1K+,Good Standard,"The privacy policy appears to comply with the standards set by the GDPR Article 5:
1. Lawfulness, Fairness, and Transparency: The policy clearly states its process for data collection and use, and uses transparent language to inform the user of their rights and how the data is used.
2. Purpose Limitation: The policy clearly defines the purposes for data collection (to provide and improve the Service) and states that it won't use or share the data for anything outside the stated purpose.
3. Data Minimization: The policy explicitly discusses the types of personal information it collects, which seems necessary for the function of the Service (username, email, birth date, etc.).
4. Accuracy: The policy allows for user rights of rectification where the user can request inaccurate information to be corrected.
5. Storage Limitation: The policy provides a clear outline of data retention, stating that data will be stored as necessary for its original purpose and for business/legal reasons.
6. Integrity and Confidentiality: It acknowledges the importance of data security and commits to using reasonable measures to protect personal information. Although it admits that no method is 100% secure, this honesty is appreciated for transparency purposes.
The policy respects the rights of its users in accordance with the CCPA and GDPR, allowing for data correction, deletion, restriction of processing and transfer. Therefore, it is classified as ""Good""."
99,1K+,Good Standard,"The privacy policy clearly states its legal basis for data processing, has defined purposes for data collection, emphasizes on data minimization, provides measures for data accuracy, defines clear retention periods, and has adequate security measures to protect data, meeting the criteria for a Good Standard Assessment. Detailed sections like 'Personal Information We Collect', 'How We Use this Information', 'Retention of Personal Information', 'Your Choices', 'Your Rights' and 'How We Protect Personal Information' provide transparency for users and give them control over their data. The policy also complies with GDPR and other regional laws like those in California."
100,1K+,Good Standard,"The policy provides a clear explanation of its legal footing regarding data processing, ensuring lawfulness, fairness and transparency. It also clearly defines and limits the purposes for data collection, showing purpose limitation. Data minimization is evident as the policy specifies collecting only necessary info, such as installation IDs and usage info. The policy ensures data accuracy through ongoing updates and responses to inquiries. Storage limitation is also evident, as the policy states that audio data is not stored and chat messages aren't saved. Likewise, it has in place adequate security measures to protect user data, including technical and organizational measures to guard against unauthorized access, alteration or destruction. It is also following the principles of GDPR Article 5 in terms of the age of consent, not targeting individuals under 13 and not collecting their personal information intentionally."
